date,open,high,low,close,volume,signal,ma_20,diff,distance,yearly_high,yearly_low,top_5
2018-08-23,6461.49934082031,6521.0659179688,6521.0659179688,6521.0659179688,6759411712.0,0,,,59.56657714849007,6521.0659179688,,0
2018-08-24,6445.26767578125,6684.37890625,6684.37890625,6684.37890625,6096332800.0,0,,,239.11123046875036,6684.37890625,,0
2018-08-25,6430.239013671875,6736.0361328125,6736.0361328125,6736.0361328125,6913767424.0,0,,,305.797119140625,6736.0361328125,,0
2018-08-26,6420.34758300781,6728.2880859375,6728.2880859375,6728.2880859375,5280060416.0,0,,,307.9405029296904,6728.2880859375,,0
2018-08-27,6430.31577148437,6911.0961914062,6911.0961914062,6911.0961914062,5215046144.0,0,,,480.7804199218299,6911.0961914062,,0
2018-08-28,6471.138549804685,7075.9833984375,7075.9833984375,7075.9833984375,5444349952.0,0,,,604.8448486328152,7075.9833984375,,0
2018-08-29,6496.91350097656,7046.7490234375,7046.7490234375,7046.7490234375,6246602752.0,0,,,549.8355224609404,7046.7490234375,,0
2018-08-30,6539.79123535156,7024.1450195312,7024.1450195312,7024.1450195312,5976493056.000001,1,,,484.35378417963966,7024.1450195312,,0
2018-08-31,6580.911889648431,7027.6313476562,7027.6313476562,7027.6313476562,6587864576.0,0,,,446.7194580077694,7027.6313476562,,0
2018-09-01,6625.555078124996,7211.2709960938,7211.2709960938,7211.2709960938,5959884288.0,0,,,585.7159179688042,7211.2709960938,,0
2018-09-02,6676.618920898436,7305.2729492188,7305.2729492188,7305.2729492188,6257915392.0,0,,,628.654028320364,7305.2729492188,,0
2018-09-03,6729.05249023437,7260.8974609375,7260.8974609375,7260.8974609375,6640164352.0,0,,,531.8449707031295,7260.8974609375,,0
2018-09-04,6783.637207031245,7359.462890625,7359.462890625,7359.462890625,4511643136.0,0,,,575.8256835937545,7359.462890625,,0
2018-09-05,6806.414282226561,6764.9267578125,6764.9267578125,6764.9267578125,5344233472.0,0,,,-41.48752441406123,6764.9267578125,,0
2018-09-06,6802.99250488281,6498.2797851562,6498.2797851562,6498.2797851562,7036065792.0,0,,,-304.71271972661,6498.2797851562,,0
2018-09-07,6803.780419921871,6397.8188476562,6397.8188476562,6397.8188476562,6558109696.0,0,,,-405.96157226567084,6397.8188476562,,0
2018-09-08,6789.065429687495,6181.1943359375,6181.1943359375,6181.1943359375,4422971904.0,-1,,,-607.8710937499955,6181.1943359375,,0
2018-09-09,6789.95954589843,6260.7646484375,6260.7646484375,6260.7646484375,3851077632.0,0,,,-529.1948974609304,6260.7646484375,,0
2018-09-10,6782.002709960931,6308.1352539062,6308.1352539062,6308.1352539062,4174629632.0,0,,,-473.8674560547306,6308.1352539062,,0
2018-09-11,6779.115747070306,6278.9169921875,6278.9169921875,6278.9169921875,4504626688.0,0,,,-500.1987548828056,6278.9169921875,,0
2018-09-12,6769.591162109365,6330.57421875,6330.57421875,6330.57421875,5001528832.0,0,,,-439.01694335936463,6330.57421875,,0
2018-09-13,6759.695288085924,6486.4614257812,6486.4614257812,6486.4614257812,5026516480.0,0,,,-273.2338623047244,6486.4614257812,,0
2018-09-14,6747.894091796859,6500.0122070312,6500.0122070312,6500.0122070312,4987196928.0,0,,,-247.88188476565938,6500.0122070312,,0
2018-09-15,6737.990747070295,6530.2211914062,6530.2211914062,6530.2211914062,5350596608.0,0,,,-207.7695556640947,6530.2211914062,,0
2018-09-16,6717.748364257795,6506.2485351562,6506.2485351562,6506.2485351562,4295951360.0,0,,,-211.49982910159542,6506.2485351562,,0
2018-09-17,6676.455273437479,6250.1215820312,6250.1215820312,6250.1215820312,4715407360.0,0,,,-426.3336914062793,6250.1215820312,,0
2018-09-18,6641.47128906248,6347.0693359375,6347.0693359375,6347.0693359375,4600931328.0,0,,,-294.4019531249796,6347.0693359375,,0
2018-09-19,6609.45173339842,6383.75390625,6383.75390625,6383.75390625,4472798208.0,0,,,-225.6978271484204,6383.75390625,,0
2018-09-20,6582.66442871092,6491.8852539062,6491.8852539062,6491.8852539062,5380977664.0,0,,,-90.77917480472024,6491.8852539062,,0
2018-09-21,6559.792602539039,6753.8344726562,6753.8344726562,6753.8344726562,5059042304.0,0,,,194.04187011716112,6753.8344726562,,0
2018-09-22,6531.880566406226,6747.0322265625,6747.0322265625,6747.0322265625,5931455488.000001,0,,,215.15166015627437,6747.0322265625,,0
2018-09-23,6504.387158203101,6711.029296875,6711.029296875,6711.029296875,5159534080.0,0,,,206.64213867189937,6711.029296875,,0
2018-09-24,6466.22338867185,6596.1875,6596.1875,6596.1875,4322793984.0,0,,,129.96411132814956,6596.1875,,0
2018-09-25,6450.0426269531,6441.3115234375,6441.3115234375,6441.3115234375,4626497536.0,0,,,-8.731103515599898,6441.3115234375,,0
2018-09-26,6448.268408203099,6462.7954101562,6462.7954101562,6462.7954101562,4580782080.0,0,,,14.527001953100807,6462.7954101562,,0
2018-09-27,6463.612670898415,6704.7041015625,6704.7041015625,6704.7041015625,3788299776.0,0,,,241.09143066408524,6704.7041015625,,0
2018-09-28,6486.2912597656,6634.7661132812,6634.7661132812,6634.7661132812,4690260992.0,0,,,148.47485351559953,6634.7661132812,,0
2018-09-29,6503.556713867165,6606.0737304688,6606.0737304688,6606.0737304688,3140320768.0,0,,,102.51701660163508,6606.0737304688,,0
2018-09-30,6519.451855468729,6626.0380859375,6626.0380859375,6626.0380859375,2294290944.0,0,,,106.58623046877074,6626.0380859375,,0
2018-10-01,6535.448071289045,6598.8413085938,6598.8413085938,6598.8413085938,1908960768.0,0,,,63.39323730475462,6598.8413085938,,0
2018-10-02,6545.149755859355,6524.6079101562,6524.6079101562,6524.6079101562,1893760895.9999998,1,,,-20.54184570315465,6524.6079101562,,0
2018-10-03,6545.789794921855,6499.2622070312,6499.2622070312,6499.2622070312,2035903488.0000002,0,,,-46.52758789065501,6499.2622070312,,0
2018-10-04,6549.724267578104,6578.7016601562,6578.7016601562,6578.7016601562,2247969536.0,0,,,28.977392578095532,6578.7016601562,,0
2018-10-05,6554.272680664045,6621.189453125,6621.189453125,6621.189453125,2059404672.0,0,,,66.91677246095514,6621.189453125,,0
2018-10-06,6558.416479492174,6589.1245117188,6589.1245117188,6589.1245117188,1840911104.0,0,,,30.70803222662562,6589.1245117188,,0
2018-10-07,6575.152001953114,6584.83203125,6584.83203125,6584.83203125,1464404352.0,0,,,9.68002929688555,6584.83203125,,0
2018-10-08,6590.45300292968,6653.0893554688,6653.0893554688,6653.0893554688,1499424767.9999998,0,,,62.6363525391198,6653.0893554688,,0
2018-10-09,6602.952587890619,6633.7456054688,6633.7456054688,6633.7456054688,2081626496.0,0,,,30.793017578181207,6633.7456054688,,0
2018-10-10,6607.48107910156,6582.455078125,6582.455078125,6582.455078125,1741398528.0,0,,,-25.02600097655977,6582.455078125,,0
2018-10-11,6581.50773925781,6234.3676757812,6234.3676757812,6234.3676757812,2070407936.0,-1,,,-347.1400634766096,6234.3676757812,,0
2018-10-12,6558.435766601559,6285.5927734375,6285.5927734375,6285.5927734375,3581191424.0,0,,,-272.8429931640594,6285.5927734375,,0
2018-10-13,6538.62846679687,6314.8833007812,6314.8833007812,6314.8833007812,2295615232.0,0,,,-223.7451660156703,6314.8833007812,,0
2018-10-14,6525.2468261718695,6328.5546875,6328.5546875,6328.5546875,1851879423.9999998,0,,,-196.69213867186954,6328.5546875,,0
2018-10-15,6536.175024414055,6659.8754882812,6659.8754882812,6659.8754882812,1847113728.0,0,,,123.70046386714512,6659.8754882812,,0
2018-10-16,6544.791528320306,6635.1254882812,6635.1254882812,6635.1254882812,6217859072.0,0,,,90.33395996089439,6635.1254882812,,0
2018-10-17,6541.34340820312,6635.7416992188,6635.7416992188,6635.7416992188,2746546176.0,0,,,94.39829101568012,6635.7416992188,,0
2018-10-18,6535.4806640625,6517.5112304688,6517.5112304688,6517.5112304688,2820354559.9999995,0,,,-17.96943359370016,6517.5112304688,,0
2018-10-19,6529.368359375,6483.8276367188,6483.8276367188,6483.8276367188,2625598976.0000005,0,,,-45.54072265620016,6483.8276367188,,0
2018-10-20,6524.700390625,6532.6787109375,6532.6787109375,6532.6787109375,2652531968.0,0,,,7.978320312499818,6532.6787109375,,0
2018-10-21,6521.24182128906,6529.669921875,6529.669921875,6529.669921875,2387105792.0,0,,,8.428100585940228,6529.669921875,,0
2018-10-22,6520.640869140625,6512.5888671875,6512.5888671875,6512.5888671875,2127987200.0,0,,,-8.052001953125,6512.5888671875,,0
2018-10-23,6519.317749023439,6472.7998046875,6472.7998046875,6472.7998046875,2655160064.0,0,,,-46.51794433593932,6472.7998046875,,0
2018-10-24,6514.4548339843805,6481.443359375,6481.443359375,6481.443359375,2784381184.0,0,,,-33.01147460938046,6481.443359375,,0
2018-10-25,6506.3049316406305,6458.19140625,6458.19140625,6458.19140625,2607022336.0,0,,,-48.11352539063046,6458.19140625,,0
2018-10-26,6500.2900390625,6468.8266601562,6468.8266601562,6468.8266601562,2618534144.0,0,,,-31.463378906300022,6468.8266601562,,0
2018-10-27,6493.9013671875,6457.05859375,6457.05859375,6457.05859375,2698017024.0,0,,,-36.8427734375,6457.05859375,,0
